Title,Loser,Winner,Weight_Class,Method,Rounds,Time,Time Format,Refree,Details,Fighter(A),KnockDowns(A),LANDED SIG. STR(A),ATTEMPTED SIG. STR(A),SIG. STR%(A),TOTAL STR(A),LANDED_TD(A),ATTEMPTED_TD(A),TD% (A),SUB_ATT(A),REV(A),CTRL(A),HEAD(A),BODY(A),LEG(A),DISTANCE(A),CLINCH(A),GROUND(A),Fighter(B),KnockDowns(B),LANDED SIG. STR(B),ATTEMPTED SIG. STR(B),SIG. STR%(B),TOTAL STR(B),LANDED_TD(B),ATTEMPTED_TD(B),TD% (B),SUB_ATT(B),REV(B),CTRL(B),HEAD(B),BODY(B),LEG(B),DISTANCE(B),CLINCH(B),GROUND(B)
UFC Fight Night: Rozenstruik vs. Gane,Maxim Grishin ,Dustin Jacoby ,Light Heavyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 29. Sal D'amato 28 - 29. Tony Weeks 28 - 29.,Dustin Jacoby ,0,57,137,41%,60 of 141,0,0,---,0,0,0:48,25 of 88,7 of 15,25 of 34,55 of 133,2 of 4,0 of 0,Maxim Grishin ,2,66,156,42%,80 of 172,0,2,0%,0,0,1:16,31 of 110,8 of 16,27 of 30,59 of 144,2 of 5,5 of 7
UFC 231: Holloway vs. Ortega,Devin Clark ,Aleksandar Rakic ,Light Heavyweight Bout, KO/TKO ,1,4:05,3 Rnd (5-5-5),Brian Beauchamp,Spinning Back Fist Head,Devin Clark ,1,19,31,61%,24 of 36,0,2,0%,0,0,0:50,15 of 26,0 of 1,4 of 4,3 of 13,9 of 10,7 of 8,Aleksandar Rakic ,1,31,45,68%,33 of 47,0,1,0%,0,0,1:06,12 of 24,10 of 10,9 of 11,11 of 19,10 of 10,10 of 16
UFC Fight Night: Lee vs. Iaquinta,Chris de la Rocha ,Juan Adams ,Heavyweight Bout, KO/TKO ,3,0:58,3 Rnd (5-5-5),Joe Fipp,Knee to Body In Clinch,Chris de la Rocha ,0,41,76,53%,46 of 81,1,2,50%,0,0,0:59,30 of 64,10 of 11,1 of 1,36 of 67,3 of 7,2 of 2,Juan Adams ,0,86,144,59%,121 of 180,2,2,100%,0,0,4:36,74 of 131,8 of 8,4 of 5,38 of 85,13 of 15,35 of 44
UFC 232: Jones vs. Gustafsson 2,Brian Kelleher ,Montel Jackson ,Bantamweight Bout, Submission ,1,1:40,3 Rnd (5-5-5),Ed Collantes,D'Arce Choke On Ground,Brian Kelleher ,0,6,10,60%,6 of 10,0,1,0%,0,0,0:05,0 of 3,0 of 1,6 of 6,6 of 10,0 of 0,0 of 0,Montel Jackson ,0,10,16,62%,16 of 27,0,0,---,1,0,0:16,6 of 11,2 of 3,2 of 2,7 of 12,1 of 1,2 of 3
UFC Fight Night: Cejudo vs. Dillashaw,Kyle Stewart ,Chance Rencountre ,Welterweight Bout, Submission ,1,2:25,3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke,Kyle Stewart ,0,2,11,18%,2 of 11,0,0,---,0,0,0:00,0 of 9,2 of 2,0 of 0,2 of 11,0 of 0,0 of 0,Chance Rencountre ,0,6,9,66%,13 of 22,2,3,66%,1,0,1:59,5 of 8,0 of 0,1 of 1,4 of 7,0 of 0,2 of 2
UFC Fight Night: Assuncao vs. Moraes 2,Bibulatov Magomed ,Rogerio Bontorin ,Flyweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Jerin Valel,Mike Bell 28 - 29. Guilherme Bravo 29 - 28. Joseph Terrell 28 - 29.,Bibulatov Magomed ,0,58,98,59%,66 of 107,4,8,50%,0,0,2:16,21 of 57,35 of 39,2 of 2,41 of 78,14 of 16,3 of 4,Rogerio Bontorin ,0,40,77,51%,52 of 89,1,3,33%,2,1,2:58,27 of 62,11 of 12,2 of 3,33 of 70,6 of 6,1 of 1
UFC 234: Adesanya vs. Silva,Wuliji Buren ,Jonathan Martinez ,Bantamweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Greg Kleynjans,Anthony Dimitriou 27 - 30. Garth Harriman 27 - 30. Evan Field 28 - 29.,Wuliji Buren ,0,17,31,54%,24 of 40,3,6,50%,1,2,3:58,8 of 19,5 of 8,4 of 4,12 of 24,0 of 0,5 of 7,Jonathan Martinez ,0,47,87,54%,63 of 110,1,2,50%,0,1,7:24,27 of 55,5 of 9,15 of 23,18 of 46,4 of 5,25 of 36
UFC Fight Night: Ngannou vs. Velasquez,Aleksandra Albu ,Emily Whitmire ,Women's Strawweight Bout, Submission ,1,1:01,3 Rnd (5-5-5),Ryan Brueggeman,Rear Naked Choke,Aleksandra Albu ,0,2,5,40%,2 of 6,0,0,---,0,0,0:00,2 of 5,0 of 0,0 of 0,2 of 5,0 of 0,0 of 0,Emily Whitmire ,0,3,5,60%,8 of 11,1,1,100%,1,0,0:51,2 of 4,0 of 0,1 of 1,3 of 5,0 of 0,0 of 0
UFC 2: No Way Out,Sean Daugherty ,Scott Morris ,Open Weight Bout, Submission ,1,0:20,No Time Limit,John McCarthy,Guillotine Choke From Mount,Scott Morris ,0,1,1,100%,2 of 2,1,1,100%,1,0,--,1 of 1,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0,Sean Daugherty ,0,0,4,0%,1 of 5,0,0,---,0,0,--,0 of 2,0 of 0,0 of 2,0 of 3,0 of 1,0 of 0
UFC 2: No Way Out,Ray Wizard ,Patrick Smith ,Open Weight Bout, Submission ,1,0:58,No Time Limit,John McCarthy,Guillotine Choke Standing,Patrick Smith ,0,1,1,100%,1 of 1,0,1,0%,1,0,--,0 of 0,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0,Ray Wizard ,0,1,1,100%,2 of 2,0,0,---,0,0,--,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
