,R_fighter,B_fighter,Referee,Date,location,Winner,title_bout,weight_class,win_by,last_round,last_round_time,Format,Year,City,State,Country,Fight_type,Weight category,Winner_avg_KD,Loser_avg_KD,Winner_avg_opp_KD,Loser_avg_opp_KD,Winner_avg_SIG_STR_pct,Loser_avg_SIG_STR_pct,Loser_avg_opp_SIG_STR_pct,Winner_avg_TD_pct,Loser_avg_TD_pct,Winner_avg_opp_TD_pct,Loser_avg_opp_TD_pct,Winner_avg_SUB_ATT,Loser_avg_SUB_ATT,Winner_avg_opp_SUB_ATT,Loser_avg_opp_SUB_ATT,Winner_avg_REV,Loser_avg_REV,Winner_avg_opp_REV,Loser_avg_opp_REV,Winner_avg_SIG_STR_att,Loser_avg_SIG_STR_att,Winner_avg_SIG_STR_landed,Loser_avg_SIG_STR_landed,Winner_avg_opp_SIG_STR_att,Loser_avg_opp_SIG_STR_att,Winner_avg_opp_SIG_STR_landed,Loser_avg_opp_SIG_STR_landed,Winner_avg_TOTAL_STR_att,Loser_avg_TOTAL_STR_att,Winner_avg_TOTAL_STR_landed,Loser_avg_TOTAL_STR_landed,Winner_avg_opp_TOTAL_STR_att,Loser_avg_opp_TOTAL_STR_att,Winner_avg_opp_TOTAL_STR_landed,Loser_avg_opp_TOTAL_STR_landed,Winner_avg_TD_att,Loser_avg_TD_att,Winner_avg_TD_landed,Loser_avg_TD_landed,Winner_avg_opp_TD_att,Loser_avg_opp_TD_att,Winner_avg_opp_TD_landed,Loser_avg_opp_TD_landed,Winner_avg_HEAD_att,Loser_avg_HEAD_att,Winner_avg_HEAD_landed,Loser_avg_HEAD_landed,Winner_avg_opp_HEAD_att,Loser_avg_opp_HEAD_att,Winner_avg_opp_HEAD_landed,Loser_avg_opp_HEAD_landed,Winner_avg_BODY_att,Loser_avg_BODY_att,Winner_avg_BODY_landed,Loser_avg_BODY_landed,Winner_avg_opp_BODY_att,Loser_avg_opp_BODY_att,Winner_avg_opp_BODY_landed,Loser_avg_opp_BODY_landed,Winner_avg_LEG_att,Loser_avg_LEG_att,Winner_avg_LEG_landed,Loser_avg_LEG_landed,Winner_avg_opp_LEG_att,Loser_avg_opp_LEG_att,Winner_avg_opp_LEG_landed,Loser_avg_opp_LEG_landed,Winner_avg_DISTANCE_att,Loser_avg_DISTANCE_att,Winner_avg_DISTANCE_landed,Loser_avg_DISTANCE_landed,Winner_avg_opp_DISTANCE_att,Loser_avg_opp_DISTANCE_att,Winner_avg_opp_DISTANCE_landed,Loser_avg_opp_DISTANCE_landed,Winner_avg_CLINCH_att,Loser_avg_CLINCH_att,Winner_avg_CLINCH_landed,Loser_avg_CLINCH_landed,Winner_avg_opp_CLINCH_att,Loser_avg_opp_CLINCH_att,Winner_avg_opp_CLINCH_landed,Loser_avg_opp_CLINCH_landed,Winner_avg_GROUND_att,Loser_avg_GROUND_att,Winner_avg_GROUND_landed,Loser_avg_GROUND_landed,Winner_avg_opp_GROUND_att,Loser_avg_opp_GROUND_att,Winner_avg_opp_GROUND_landed,Loser_avg_opp_GROUND_landed,Winner_avg_CTRL_time(seconds),Loser_avg_CTRL_time(seconds),Winner_avg_opp_CTRL_time(seconds),Loser_avg_opp_CTRL_time(seconds),Winner_total_time_fought(seconds),Loser_total_time_fought(seconds),Winner_total_rounds_fought,Loser_total_rounds_fought,Winner_total_title_bouts,Loser_total_title_bouts,Winner_current_win_streak,Loser_current_win_streak,Winner_current_lose_streak,Loser_current_lose_streak,Winner_longest_win_streak,Loser_longest_win_streak,Winner_wins,Loser_wins,Winner_losses,Loser_losses,Winner_draw,Loser_draw,Winner_win_by_Decision_Majority,Loser_win_by_Decision_Majority,Winner_win_by_Decision_Split,Loser_win_by_Decision_Split,Winner_win_by_Decision_Unanimous,Loser_win_by_Decision_Unanimous,Winner_win_by_KO/TKO,Loser_win_by_KO/TKO,Winner_win_by_Submission,Loser_win_by_Submission,Winner_win_by_TKO_Doctor_Stoppage,Loser_win_by_TKO_Doctor_Stoppage,Winner_Stance,Loser_Stance,Winner_Height_cms,Loser_Height_cms,Winner_Reach_cms,Loser_Reach_cms,Winner_Weight_lbs,Loser_Weight_lbs,Winner_age,Loser_age,Winner_KD,Loser_KD,Winner_SIG_STR,Loser_SIG_STR,Winner_SIG_STR_pct,Loser_SIG_STR_pct,Winner_TOTAL_STR,Loser_TOTAL_STR,Winner_TD,Loser_TD,Winner_TD_pct,Loser_TD_pct,Winner_SUB_ATT,Loser_SUB_ATT,Winner_REV,Loser_REV,Winner_CTRL,Loser_CTRL,Winner_HEAD,Loser_HEAD,Winner_BODY,Loser_BODY,Winner_LEG,Loser_LEG,Winner_DISTANCE,Loser_DISTANCE,Winner_CLINCH,Loser_CLINCH,Winner_GROUND,Loser_GROUND,Winner_fighter,Loser_fighter,Winner_Wins/Losses,Loser_Wins/Losses
2,Marion Reneau,Macy Chiasson,Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Blue,False,WomenBantamweight,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),2021,Las Vegas, Nevada, USA,Women's Bantamweight Bout,Low weight,0.125,0.0,0.0,0.0009765625,0.535625,0.403076171875,0.5549609375,0.185,0.51171875,0.16625,0.62875,0.125,0.2314453125,0.1875,0.03125,0.25,0.03125,0.0,0.5,109.1875,109.3310546875,57.9375,44.3623046875,50.625,148.8466796875,28.4375,84.5546875,170.4375,137.154296875,105.625,70.1982421875,74.375,172.4990234375,44.25,106.6806640625,5.375,2.26171875,1.5,1.26171875,2.0,3.1376953125,0.625,1.771484375,77.375,86.375,31.375,26.0302734375,41.5625,94.2255859375,22.625,38.693359375,31.1875,17.2724609375,26.1875,13.4697265625,7.6875,37.7177734375,4.9375,31.658203125,0.625,5.68359375,0.375,4.8623046875,1.375,16.9033203125,0.875,14.203125,33.5625,85.845703125,11.0,27.9072265625,32.0625,106.9130859375,13.9375,48.4794921875,39.0625,18.99609375,28.8125,13.970703125,13.3125,35.3125,10.75,32.0595703125,36.5625,4.4892578125,18.125,2.484375,5.25,6.62109375,3.75,4.015625,390.25,141.28515625,156.3125,310.15234375,764.0,874.380859375,11,30,1,0,3,2,0,0,3,2,4,5,1,6,0,0,0,0,0,0,1,1,2,2,1,2,0,0,Orthodox,Orthodox,180.34,167.64,182.88,172.72,135.0,135.0,29.0,43.0,0,0,51 of 138,30 of 63,36%,47%,92 of 184,59 of 93,1 of 1,2 of 4,100%,50%,0,0,1,0,3:48,2:15,29 of 110,14 of 40,15 of 20,7 of 13,7 of 8,9 of 10,36 of 119,25 of 54,13 of 15,5 of 9,2 of 4,0 of 0,Macy Chiasson,Marion Reneau,4.0,0.8333333333333334
4,Song Kenan,Max Griffin,Keith Peterson,2021-03-20,"Las Vegas, Nevada, USA",Blue,False,Welterweight,KO/TKO,1,2:20,3 Rnd (5-5-5),2021,Las Vegas, Nevada, USA,Welterweight Bout,Middle weight,0.046875,0.625,0.125,0.0,0.4592773437499999,0.493125,0.43,0.3221875,0.0,0.0688671875,0.6875,0.189453125,0.0,0.0,0.25,0.283203125,0.25,0.0,0.25,130.818359375,73.8125,60.11328125,33.5,129.337890625,61.0625,50.548828125,26.5,151.5546875,77.5625,78.32421875,36.5625,137.427734375,67.4375,58.5078125,32.125,2.73046875,0.0,1.453125,0.0,1.552734375,2.375,0.28515625,1.375,102.328125,56.5625,38.814453125,23.375,111.267578125,51.5625,37.830078125,19.0625,20.951171875,11.375,14.419921875,5.875,12.15625,5.5625,7.1796875,4.1875,7.5390625,5.875,6.87890625,4.25,5.9140625,3.9375,5.5390625,3.25,125.130859375,66.75,55.888671875,28.9375,122.193359375,55.75,45.869140625,23.6875,5.03125,5.375,3.763671875,3.0,6.263671875,4.5,3.966796875,2.25,0.65625,1.6875,0.4609375,1.5625,0.880859375,0.8125,0.712890625,0.5625,148.5078125,13.5,80.09765625,92.4375,809.53125,445.0,28,10,0,0,0,2,1,0,1,2,4,4,6,1,0,0,1,0,0,0,1,1,2,3,0,0,0,0,Orthodox,Orthodox,180.34,182.88,193.04,180.34,170.0,170.0,35.0,31.0,1,0,17 of 28,14 of 24,60%,58%,17 of 28,14 of 24,0 of 1,0 of 0,0%,---,0,0,0,0,0:28,0:00,11 of 17,5 of 10,2 of 7,5 of 8,4 of 4,4 of 6,16 of 27,14 of 24,0 of 0,0 of 0,1 of 1,0 of 0,Max Griffin,Song Kenan,0.6666666666666666,4.0
5,Derek Brunson,Kevin Holland,Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Middleweight,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),2021,Las Vegas, Nevada, USA,Middleweight Bout,Middle weight,0.0245513916015625,0.15625,0.220703125,0.0,0.5156361389160156,0.7915820312499999,0.8505859375,0.3558242797851562,0.26919921875,0.0,0.3933984375,9.1552734375e-05,0.029296875,0.0,0.080078125,0.0,0.0234375,0.0,0.041015625,133.4735107421875,39.2109375,72.17990112304688,26.078125,95.71842956542967,24.494140625,41.511474609375,11.953125,150.52398681640625,61.64453125,88.71699523925781,47.791015625,102.1464385986328,31.279296875,47.68928527832031,17.46484375,8.111679077148438,0.935546875,3.008209228515625,0.529296875,2.1568603515625,2.759765625,0.0,1.451171875,98.62075805664062,31.01953125,46.65184020996094,19.921875,66.27102661132812,15.763671875,20.732513427734375,5.615234375,22.163742065429688,4.162109375,15.460418701171877,2.685546875,21.706512451171875,4.70703125,16.6983642578125,2.8203125,12.689010620117188,4.029296875,10.067642211914062,3.470703125,7.740890502929688,4.0234375,4.080596923828125,3.517578125,102.85295104980467,25.35546875,50.01177978515625,14.09375,84.9866943359375,17.171875,32.964813232421875,7.177734375,11.84820556640625,3.630859375,7.16400146484375,2.984375,10.287551879882812,1.857421875,8.20220947265625,1.353515625,18.77235412597656,10.224609375,15.004119873046877,9.0,0.444183349609375,5.46484375,0.344451904296875,3.421875,157.81211853027344,69.5,3.515289306640625,82.31640625,683.1185607910156,267.517578125,31,23,0,0,2,0,0,1,5,5,12,8,5,2,0,0,0,0,0,2,4,1,7,3,1,2,0,0,Southpaw,Orthodox,185.42,190.5,195.58,205.74,185.0,185.0,37.0,28.0,0,0,43 of 93,36 of 74,46%,48%,226 of 323,190 of 236,6 of 12,1 of 1,50%,100%,1,0,0,0,16:55,1:47,28 of 74,28 of 64,7 of 10,2 of 4,8 of 9,6 of 6,14 of 43,29 of 64,10 of 10,5 of 7,19 of 40,2 of 3,Derek Brunson,Kevin Holland,2.4,4.0
6,Misha Cirkunov,Ryan Spann,Mark Smith,2021-03-13,"Las Vegas, Nevada, USA",Blue,False,LightHeavyweight,KO/TKO,1,1:11,3 Rnd (5-5-5),2021,Las Vegas, Nevada, USA,Light Heavyweight Bout,Middle weight,1.0625,0.0,0.0,0.28125,0.473125,0.5615625,0.5733203124999999,0.6012500000000001,0.3927734375,0.105,0.0703125,0.5,0.77734375,0.0625,0.0625,0.0625,1.015625,0.5,0.5,49.3125,12.40625,22.0625,6.90625,51.8125,23.26171875,31.625,13.3671875,51.3125,29.39453125,24.0625,22.2265625,67.625,28.90625,46.875,17.421875,3.0,1.234375,1.5625,0.6875,1.0625,0.4765625,0.5,0.078125,44.875,8.87890625,18.5625,3.94921875,44.0625,21.10546875,24.75,11.62109375,4.3125,3.12890625,3.4375,2.5625,3.125,1.9453125,2.5,1.60546875,0.125,0.3984375,0.0625,0.39453125,4.625,0.2109375,4.375,0.140625,41.3125,6.41015625,16.5625,2.4921875,33.3125,4.37109375,16.125,1.890625,3.375,3.796875,2.1875,2.71484375,4.6875,3.1328125,3.625,2.46875,4.625,2.19921875,3.3125,1.69921875,13.8125,15.7578125,11.875,9.0078125,128.75,82.94140625,50.9375,38.19921875,423.3125,161.48828125,10,12,0,0,4,4,0,0,4,4,4,6,1,3,0,0,0,0,1,0,1,0,1,1,1,5,0,0,Orthodox,Orthodox,195.58,190.5,200.66,195.58,205.0,205.0,29.0,34.0,1,0,16 of 29,5 of 18,55%,27%,16 of 29,5 of 18,0 of 0,0 of 0,---,---,0,0,0,0,0:13,0:00,14 of 27,5 of 18,2 of 2,0 of 0,0 of 0,0 of 0,4 of 13,5 of 18,0 of 0,0 of 0,12 of 16,0 of 0,Ryan Spann,Misha Cirkunov,4.0,2.0
7,Angela Hill,Ashley Yoder,Mike Beltran,2021-03-13,"Las Vegas, Nevada, USA",Red,False,WomenStrawweight,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),2021,Las Vegas, Nevada, USA,Women's Strawweight Bout,Low weight,0.250152587890625,0.015625,0.0,0.0,0.4833660888671875,0.496640625,0.61671875,0.101591796875,0.3271874999999999,0.2326171875,0.0909375,0.140625,1.59375,0.00396728515625,0.1484375,3.0517578125e-05,0.1796875,0.0,0.640625,210.6167907714844,75.90625,103.70831298828124,33.734375,250.75015258789065,70.1328125,99.10885620117188,42.640625,225.59841918945312,175.0234375,115.50103759765624,121.1953125,275.5276184082031,108.4453125,120.81683349609376,79.1875,0.636993408203125,3.4375,0.206298828125,1.375,10.21600341796875,1.421875,0.89764404296875,0.34375,160.24374389648438,58.8046875,67.764404296875,22.0625,186.653076171875,47.8359375,54.471343994140625,23.3359375,47.402252197265625,9.8828125,33.172454833984375,6.7421875,41.20941162109375,10.8125,26.982025146484375,8.8125,2.970794677734375,7.21875,2.771453857421875,4.9296875,22.887664794921875,11.484375,17.655487060546875,10.4921875,184.67691040039065,57.8828125,84.08758544921875,19.734375,232.9165954589844,48.6484375,86.38580322265625,24.6796875,21.581298828125,4.0859375,16.887847900390625,2.8671875,13.12445068359375,14.953125,9.1405029296875,12.7734375,4.35858154296875,13.9375,2.732879638671875,11.1328125,4.7091064453125,6.53125,3.582550048828125,5.1875,113.0008544921875,406.9375,179.21856689453125,182.7734375,1170.8458862304688,900.0,45,24,0,0,1,0,0,3,3,2,7,3,9,5,0,0,0,0,0,1,5,2,1,0,0,0,1,0,Orthodox,Southpaw,160.02,170.18,162.56,175.26,115.0,115.0,36.0,33.0,0,0,77 of 135,34 of 116,57%,29%,97 of 165,53 of 143,1 of 3,2 of 6,33%,33%,0,0,0,0,3:52,2:39,26 of 63,17 of 85,35 of 54,11 of 21,16 of 18,6 of 10,47 of 98,34 of 115,29 of 33,0 of 1,1 of 4,0 of 0,Angela Hill,Ashley Yoder,0.7777777777777778,0.6
8,Angela Hill,Ashley Yoder,Mike Beltran,2021-03-13,"Las Vegas, Nevada, USA",Red,False,WomenStrawweight,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),2017,Las Vegas, Nevada, USA,Women's Strawweight Bout,Low weight,0.250152587890625,0.015625,0.0,0.0,0.4833660888671875,0.496640625,0.61671875,0.101591796875,0.3271874999999999,0.2326171875,0.0909375,0.140625,1.59375,0.00396728515625,0.1484375,3.0517578125e-05,0.1796875,0.0,0.640625,210.6167907714844,75.90625,103.70831298828124,33.734375,250.75015258789065,70.1328125,99.10885620117188,42.640625,225.59841918945312,175.0234375,115.50103759765624,121.1953125,275.5276184082031,108.4453125,120.81683349609376,79.1875,0.636993408203125,3.4375,0.206298828125,1.375,10.21600341796875,1.421875,0.89764404296875,0.34375,160.24374389648438,58.8046875,67.764404296875,22.0625,186.653076171875,47.8359375,54.471343994140625,23.3359375,47.402252197265625,9.8828125,33.172454833984375,6.7421875,41.20941162109375,10.8125,26.982025146484375,8.8125,2.970794677734375,7.21875,2.771453857421875,4.9296875,22.887664794921875,11.484375,17.655487060546875,10.4921875,184.67691040039065,57.8828125,84.08758544921875,19.734375,232.9165954589844,48.6484375,86.38580322265625,24.6796875,21.581298828125,4.0859375,16.887847900390625,2.8671875,13.12445068359375,14.953125,9.1405029296875,12.7734375,4.35858154296875,13.9375,2.732879638671875,11.1328125,4.7091064453125,6.53125,3.582550048828125,5.1875,113.0008544921875,406.9375,179.21856689453125,182.7734375,1170.8458862304688,900.0,45,24,0,0,1,0,0,3,3,2,7,3,9,5,0,0,0,0,0,1,5,2,1,0,0,0,1,0,Orthodox,Southpaw,160.02,170.18,162.56,175.26,115.0,115.0,36.0,33.0,0,0,47 of 100,26 of 108,47%,24%,65 of 118,54 of 137,1 of 1,3 of 6,100%,50%,0,0,0,0,2:54,3:20,20 of 67,11 of 81,5 of 9,9 of 21,22 of 24,6 of 6,41 of 93,25 of 105,3 of 3,1 of 3,3 of 4,0 of 0,Angela Hill,Ashley Yoder,0.7777777777777778,0.6
9,Angela Hill,Ashley Yoder,Jason Herzog,2017-07-07,"Las Vegas, Nevada, USA",Red,False,WomenStrawweight,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),2021,Las Vegas, Nevada, USA,Women's Strawweight Bout,Low weight,0.625,0.0,0.0,0.0,0.4775,0.37,0.47,0.0,0.5,0.62,1.0,0.0,0.0,0.25,1.0,0.125,3.0,0.0,2.0,138.375,116.0,64.25,44.0,190.625,107.0,77.875,51.0,155.125,156.0,79.25,77.0,212.125,117.0,95.75,59.0,0.125,2.0,0.0,1.0,4.75,1.0,1.75,1.0,105.375,84.0,43.0,31.0,146.0,54.0,49.625,17.0,28.625,30.0,17.375,12.0,38.75,33.0,23.375,19.0,4.375,2.0,3.875,1.0,5.875,20.0,4.875,15.0,91.625,98.0,35.75,35.0,127.375,92.0,45.25,40.0,42.0,10.0,25.625,4.0,62.75,13.0,32.5,10.0,4.75,8.0,2.875,5.0,0.5,2.0,0.125,1.0,41.5,120.0,175.25,325.0,716.75,900.0,10,3,0,0,1,0,0,1,1,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Orthodox,Southpaw,160.02,170.18,162.56,175.26,115.0,115.0,32.0,29.0,0,0,77 of 135,34 of 116,57%,29%,97 of 165,53 of 143,1 of 3,2 of 6,33%,33%,0,0,0,0,3:52,2:39,26 of 63,17 of 85,35 of 54,11 of 21,16 of 18,6 of 10,47 of 98,34 of 115,29 of 33,0 of 1,1 of 4,0 of 0,Angela Hill,Ashley Yoder,0.3333333333333333,0.0
10,Angela Hill,Ashley Yoder,Jason Herzog,2017-07-07,"Las Vegas, Nevada, USA",Red,False,WomenStrawweight,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),2017,Las Vegas, Nevada, USA,Women's Strawweight Bout,Low weight,0.625,0.0,0.0,0.0,0.4775,0.37,0.47,0.0,0.5,0.62,1.0,0.0,0.0,0.25,1.0,0.125,3.0,0.0,2.0,138.375,116.0,64.25,44.0,190.625,107.0,77.875,51.0,155.125,156.0,79.25,77.0,212.125,117.0,95.75,59.0,0.125,2.0,0.0,1.0,4.75,1.0,1.75,1.0,105.375,84.0,43.0,31.0,146.0,54.0,49.625,17.0,28.625,30.0,17.375,12.0,38.75,33.0,23.375,19.0,4.375,2.0,3.875,1.0,5.875,20.0,4.875,15.0,91.625,98.0,35.75,35.0,127.375,92.0,45.25,40.0,42.0,10.0,25.625,4.0,62.75,13.0,32.5,10.0,4.75,8.0,2.875,5.0,0.5,2.0,0.125,1.0,41.5,120.0,175.25,325.0,716.75,900.0,10,3,0,0,1,0,0,1,1,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Orthodox,Southpaw,160.02,170.18,162.56,175.26,115.0,115.0,32.0,29.0,0,0,47 of 100,26 of 108,47%,24%,65 of 118,54 of 137,1 of 1,3 of 6,100%,50%,0,0,0,0,2:54,3:20,20 of 67,11 of 81,5 of 9,9 of 21,22 of 24,6 of 6,41 of 93,25 of 105,3 of 3,1 of 3,3 of 4,0 of 0,Angela Hill,Ashley Yoder,0.3333333333333333,0.0
11,Jonathan Martinez,Davey Grant,Chris Tognoni,2021-03-13,"Las Vegas, Nevada, USA",Blue,False,Bantamweight,KO/TKO,2,3:03,3 Rnd (5-5-5),2021,Las Vegas, Nevada, USA,Bantamweight Bout,Low weight,0.5,0.8125,0.625,0.0625,0.464375,0.4340624999999999,0.4221875,0.48375,0.28125,0.048125,0.109375,0.5,0.0,0.34375,0.0625,0.28125,0.03125,1.0625,0.0625,115.03125,166.75,50.0625,70.1875,108.6875,140.28125,41.9375,56.4375,125.78125,171.625,59.34375,74.46875,120.0,145.28125,52.40625,61.125,4.625,0.75,2.65625,0.3125,1.3125,3.78125,0.3125,0.4375,87.46875,128.375,28.625,45.59375,85.65625,100.75,27.8125,25.40625,18.875,31.875,13.96875,19.3125,19.125,25.84375,11.71875,17.90625,8.6875,6.5,7.46875,5.28125,3.90625,13.6875,2.40625,13.125,104.625,155.15625,44.4375,60.125,99.0,130.78125,37.625,48.0625,4.375,3.875,2.46875,3.5625,2.125,9.125,1.5,8.09375,6.03125,7.71875,3.15625,6.5,7.5625,0.375,2.8125,0.28125,178.9375,45.875,86.875,34.53125,701.4375,835.125,15,18,1,0,0,0,1,1,2,2,3,4,3,2,0,0,0,0,1,0,1,2,1,2,0,0,0,0,Orthodox,Southpaw,172.72,172.72,175.26,177.8,135.0,135.0,35.0,26.0,1,1,48 of 110,29 of 71,43%,40%,49 of 111,29 of 71,0 of 1,0 of 0,0%,---,0,0,0,0,0:03,0:25,14 of 64,16 of 57,19 of 30,5 of 6,15 of 16,8 of 8,46 of 108,26 of 66,0 of 0,0 of 0,2 of 2,3 of 5,Davey Grant,Jonathan Martinez,1.0,2.0
12,Dan Ige,Gavin Tucker,Mike Beltran,2021-03-13,"Las Vegas, Nevada, USA",Red,False,Featherweight,KO/TKO,1,0:22,3 Rnd (5-5-5),2021,Las Vegas, Nevada, USA,Featherweight Bout,Low weight,0.09375,0.0,0.25,0.3125,0.44078125,0.5293749999999999,0.4075,0.186796875,0.5,0.6,0.160625,0.03125,1.3125,0.140625,0.3125,0.015625,0.375,0.078125,0.25,172.109375,158.8125,73.21875,84.25,183.46875,146.5,78.25,64.625,185.4375,171.1875,84.4140625,96.0625,190.5859375,180.3125,84.8515625,95.875,6.25,8.9375,0.53125,4.4375,1.84375,2.4375,0.9375,0.5,125.8671875,122.0625,39.875,54.3125,142.3515625,110.125,49.359375,37.9375,32.4765625,29.4375,22.125,23.1875,27.640625,32.125,16.9765625,23.25,13.765625,7.3125,11.21875,6.75,13.4765625,4.25,11.9140625,3.4375,161.203125,132.3125,64.7109375,64.0625,159.6171875,110.25,65.1484375,39.375,5.734375,23.3125,4.21875,17.5625,5.046875,22.625,3.3125,17.75,5.171875,3.1875,4.2890625,2.625,18.8046875,13.625,9.7890625,7.5,63.453125,225.5,123.65625,58.875,1167.640625,837.875,22,15,0,0,0,1,1,0,6,3,6,4,2,1,0,0,0,0,2,0,2,2,1,0,1,2,0,0,Orthodox,Southpaw,170.18,167.64,180.34,167.64,145.0,145.0,29.0,34.0,1,0,1 of 4,1 of 1,25%,100%,1 of 4,1 of 1,0 of 0,0 of 0,---,---,0,0,0,0,0:01,0:00,1 of 4,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,1 of 4,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,Dan Ige,Gavin Tucker,3.0,4.0
